haskell-distributive 0.6.2.1-152
haskell-dlist 1.0-167
haskell-erf 2.0.0.0-24
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.0.2-21
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-primitive 0.7.4.0-11
haskell-quickcheck 2.14.2-328
haskell-random 1.2.1.1-26
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.1.2-24
haskell-scientific 0.3.7.0-63
haskell-splitmix 0.1.0.4-76
haskell-strict 0.4.0.1-120
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-these 1.1.1.1-147
haskell-time-compat 1.9.6.1-47
haskell-transformers-compat 0.7.2-1
haskell-unordered-containers 0.2.19.1-16
haskell-uuid-types 1.0.5-67
haskell-vector 0.12.3.1-103
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highlight 4.2-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hunspell-en_us 2020.12.07-4
hunspell-es_any 1:2.6-2
hwdata 0.360-1
hwloc 2.7.1-1
hyphen 2.8.8-4
iana-etc 20220603-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.40-1
imath 3.1.5-2
imlib2 1.9.0-3
iniparser 4.1-4
innoextract 1.9-6
intel-ucode 20220510-1
iproute2 5.18.0-1
iptables 1:1.8.8-1
iputils 20211215-1
iso-codes 4.10.0-1
itstool 1:2.0.7-1
iwd 1.28-1
jansson 2.14-2
jasper 3.0.4-1
jbig2dec 0.19-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.04.2-1
kactivities 5.95.0-1
kactivities-stats 5.95.0-1
kactivitymanagerd 5.25.2-1
karchive 5.95.0-1
kauth 5.95.0-1
kbd 2.5.1-1
kbookmarks 5.95.0-1
kcalc 22.04.2-1
kcalendarcore 5.95.0-1
kcmutils 5.95.0-1
kcodecs 5.95.0-1
kcompletion 5.95.0-1
kconfig 5.95.0-1
kconfigwidgets 5.95.0-1
kcontacts 1:5.95.0-1
kcoreaddons 5.95.0-1
kcrash 5.95.0-1
kdbusaddons 5.95.0-1
kde-cli-tools 5.25.2-1
kde-gtk-config 5.25.2-1
kdeclarative 5.95.0-1
kdecoration 5.25.2-1
kded 5.95.0-1
kdegraphics-mobipocket 22.04.2-1
kdelibs4support 5.95.0-1
kdeplasma-addons 5.25.2-1
kdesu 5.95.0-1
kdiagram 2.8.0-1
kdnssd 5.95.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.95.0-1
keyutils 1.6.3-1
kfilemetadata 5.95.0-1
kgamma5 5.25.2-1
kglobalaccel 5.95.0-1
kguiaddons 5.95.0-1
kholidays 1:5.95.0-1
khotkeys 5.25.2-1
khtml 5.95.0-1
ki18n 5.95.0-1
kiconthemes 5.95.0-1
kidletime 5.95.0-1
kimageformats 5.95.0-1
kinfocenter 5.25.2-1
kinit 5.95.0-1
kio 5.95.0-1
kio-extras 22.04.2-1
kio-fuse 5.0.1-1
kirigami2 5.95.0-1
kitemmodels 5.95.0-1
kitemviews 5.95.0-1
kitty 0.25.2-1
kitty-shell-integration 0.25.2-1
kitty-terminfo 0.25.2-1
kjobwidgets 5.95.0-1
kjs 5.95.0-1
kmenuedit 5.25.2-1
kmime 22.04.2-1
kmod 30-1
knewstuff 5.95.0-1
